post_title,post_excerpt,post_content,post_image,post_ref
"La asociación de bebés pide enchufes con agujeros un poco más anchos","También reclaman el acceso al amarario de debajo del fregadero","<p>La asociación de bebés ha emitido un comunicado esta mañana pidiendo enchufes con agujeros más anchos, así como otras medidas que hagan el hogar “menos seguro pero más divertido”. Los bebés lamentan que, debido a su “adecuada alimentación”, sus dedos son demasiado gruesos “para experimentar el efecto de la corriente alterna”, según ha asegurado entre lloriqueos Juan Brea, un bebé senior de 20 meses y portavoz de la asociación.</p><p>Los bebés solicitan también la retirada completa de los seguros de puerta, “especialmente el del armario de la limpieza”, y exigen la adaptación de las botellas de lejía a una estética más adecuada a sus gustos “con colores y motivos de la película Frozen”.</p><p>“Lo mejor sería que se parecieran a nuestros biberones”, concluyen los bebés.</p><p>Los bebés abogan también por aumentar el tiempo entre cambio de pañales para sentir “sin paliativos” lo dura que es realmente su situación. El colectivo tiene la firme intención de vomitar la papilla si no se adaptan los hogares españoles a sus requerimientos.</p>","http://www.emtstatic.com/2017/05/bebe.jpg","http://www.elmundotoday.com/2017/05/la-asociacion-de-bebes-pide-enchufes-con-agujeros-un-poco-mas-anchos/"
"El virus ""Despacito"" que ha afectado a la industria musical global podría tener su origen en Puerto Rico","Se ha propagado con rapidez infectando mentes de todo el mundo","<p>Hacía más de 20 años que no ocurría una desgracia similar, desde que en 1996 el virus “La Macarena” logró infectar las listas de éxitos de todo el mundo. “Despacito” ha alcanzado esta semana el número uno en Estados Unidos, donde encabeza la lista Hot 100 de Billboard. Los expertos atribuyen su autoría a un cantante puertorriqueño llamado Luis Fonsi, aunque Europol señaló este martes que es pronto para saberlo con certeza.</p><p>“Despacito” habría ido infectando poco a poco varias emisoras hasta corromper a Justin Bieber, mutando en una versión que disparó su propagación en tiempo récord. Las compañías discográficas reconocen que es pronto para decir si Puerto Rico estuvo involucrado en el ataque, que se ha convertido en una de las campañas musicales de más rápida propagación en la historia.</p><p>A la cantidad de mentes de todo el mundo afectadas por el virus, hay que sumar la cantidad de listas Billboard latinas en las que “Despacito” también ha irrumpido sin piedad, pues por decimoquinta semana consecutiva está en cabeza de la lista Hot Latin Songs, seguida de El Amante, de Nicky Jam, y Chantaje, de Shakira junto a Maluma.</p><p>Funcionarios de seguridad de Estados Unidos y Europa dijeron a Reuters bajo condición de anonimato que aún es demasiado pronto para determinar quién podría estar detrás de este ataque, pero no dudaban al señalar a Fonsi como uno de los principales sospechosos.</p>","http://www.emtstatic.com/2017/05/Captura-de-pantalla-2017-05-16-a-las-21.16.15.png","http://www.elmundotoday.com/2017/05/el-virus-despacito-que-ha-afectado-a-la-industria-musical-global-podria-tener-su-origen-en-puerto-rico/"
